"Game";"Platform";"Year";"Genre";"Publisher";"North America";"Europe";"Japan";"Rest of World";"Global"
"Grand Theft Auto V";"PS4";2014;"Action";"Rockstar Games";6.06;9.71;0.6;3.02;19.39
"Call of Duty: Black Ops 3";"PS4";2015;"Shooter";"Activision";6.18;6.05;0.41;2.44;15.09
"Red Dead Redemption 2";"PS4";2018;"Action-Adventure";"Rockstar Games";5.26;6.21;0.21;2.26;13.94
"Call of Duty: WWII";"PS4";2017;"Shooter";"Activision";4.67;6.21;0.4;2.12;13.4
"FIFA 18";"PS4";2017;"Sports";"EA Sports";1.27;8.64;0.15;1.73;11.8
"FIFA 17";"PS4";2016;"Sports";"Electronic Arts";1.26;7.95;0.12;1.61;10.94
"Uncharted (PS4)";"PS4";2016;"Action";"Sony Interactive Entertainment";4.49;3.93;0.21;1.7;10.33
"Spider-Man (PS4)";"PS4";2018;"Action-Adventure";"Sony Interactive Entertainment";3.64;3.39;0.32;1.41;8.76
"Grand Theft Auto V";"Xbox One";2014;"Action";"Rockstar Games";4.7;3.25;0.01;0.76;8.72
"Call of Duty: Infinite Warfare";"PS4";2016;"Shooter";"Activision";3.11;3.83;0.19;1.36;8.48
"Fallout 4";"PS4";2015;"Role-Playing";"Bethesda Softworks";2.91;3.97;0.27;1.34;8.48
"FIFA 16";"PS4";2015;"Sports";"EA Sports";1.15;5.77;0.07;1.23;8.22
"Star Wars Battlefront 2015";"PS4";2015;"Shooter";"Electronic Arts";3.31;3.19;0.23;1.3;8.03
"Call of Duty: Advanced Warfare";"PS4";2014;"Shooter";"Activision";2.84;3.34;0.14;1.22;7.53
"Call of Duty: Black Ops 3";"Xbox One";2015;"Shooter";"Activision";4.63;2.04;0.02;0.68;7.37
"Battlefield 1";"PS4";2016;"Shooter";"Electronic Arts";2.2;3.65;0.29;1.12;7.26
"The Last of Us";"PS4";2014;"Action-Adventure";"Sony Computer Entertainment";2.7;2.86;0.11;1.1;6.77
"MineCraft";"PS4";2014;"Misc";"Sony Computer Entertainment";1.89;3.13;0.35;0.96;6.33
"FIFA 15";"PS4";2014;"Sports";"EA Sports";0.83;4.49;0.05;0.94;6.32
"Call of Duty: WWII";"Xbox One";2017;"Shooter";"Activision";3.75;1.91;0.0;0.57;6.23
"God of War (PS4)";"PS4";2018;"Action";"Sony Interactive Entertainment";2.83;2.17;0.13;1.02;6.15
"Horizon: Zero Dawn";"PS4";2017;"Action";"Sony Interactive Entertainment";2.2;2.43;0.28;0.92;5.82
"Red Dead Redemption 2";"Xbox One";2018;"Action-Adventure";"Rockstar Games";3.76;1.47;0.0;0.54;5.77
"Destiny";"PS4";2014;"Shooter";"Activision";2.53;2.13;0.16;0.94;5.76
"Uncharted: The Nathan Drake Collection";"PS4";2015;"Action";"Sony Computer Entertainment";2.55;2.11;0.1;0.94;5.7
"MineCraft";"Xbox One";2014;"Misc";"Microsoft Studios";3.23;1.71;0.0;0.49;5.43
"The Witcher 3: Wild Hunt";"PS4";2015;"Role-Playing";"Namco Bandai Games";1.48;2.82;0.28;0.81;5.39
"Call of Duty: Advanced Warfare";"Xbox One";2014;"Shooter";"Activision";3.25;1.49;0.01;0.48;5.22
"Battlefield 1";"Xbox One";2016;"Shooter";"Electronic Arts";3.37;1.26;0.02;0.48;5.13
"Final Fantasy XV";"PS4";2016;"Role-Playing";"Square Enix";1.81;1.53;1.05;0.68;5.07
"Fallout 4";"Xbox One";2015;"Role-Playing";"Bethesda Softworks";2.94;1.62;0.02;0.45;5.03
"Halo 5: Guardians";"Xbox One";2015;"Shooter";"Microsoft Studios";2.94;1.49;0.03;0.45;4.92
"Crash Bandicoot N. Sane Trilogy";"PS4";2017;"Platform";"Activision";1.09;2.92;0.07;0.74;4.83
"Call of Duty: Infinite Warfare";"Xbox One";2016;"Shooter";"Activision";2.91;1.44;0.0;0.44;4.79
"Monster Hunter: World";"PS4";2018;"Action";"Capcom";1.03;1.06;2.17;0.42;4.67
"Overwatch";"PS4";2016;"Shooter";"Blizzard Entertainment";1.84;1.8;0.17;0.73;4.54
"Star Wars Battlefront II (2017)";"PS4";2017;"Shooter";"Electronic Arts";1.7;1.99;0.12;0.73;4.53
"Tom Clancy's The Division";"PS4";2016;"Shooter";"Ubisoft";1.49;2.04;0.16;0.69;4.37
"Tom Clancy's Rainbow Six: Siege";"PS4";2015;"Shooter";"Ubisoft";1.29;2.06;0.36;0.64;4.36
"Watch Dogs";"PS4";2014;"Action-Adventure";"Ubisoft";1.4;2.13;0.11;0.68;4.32
"Call of Duty: Ghosts";"PS4";2013;"Shooter";"Activision";1.79;1.64;0.05;0.69;4.17
"Star Wars Battlefront (2015)";"Xbox One";2015;"Shooter";"Electronic Arts";2.49;1.26;0.02;0.38;4.15
"Assassin's Creed: Unity";"PS4";2014;"Action";"Ubisoft";1.25;2.16;0.09;0.65;4.14
"Destiny 2";"PS4";2017;"Shooter";"Activision";1.92;1.44;0.1;0.69;4.14
"Batman: Arkham Knight";"PS4";2015;"Action";"Warner Bros. Interactive";1.65;1.68;0.11;0.66;4.11
"Assassin's Creed Origins";"PS4";2017;"Action";"Ubisoft";1.22;2.11;0.11;0.63;4.06
"Far Cry 4";"PS4";2014;"Shooter";"Ubisoft";1.18;2.14;0.11;0.63;4.06
"NBA 2K16";"PS4";2015;"Sports";"2K Sports";2.56;0.66;0.05;0.71;3.98
"Far Cry 5";"PS4";2018;"Action";"Ubisoft";1.44;1.73;0.15;0.62;3.95
"Battlefield 4";"PS4";2013;"Shooter";"Electronic Arts";1.4;1.74;0.19;0.62;3.94
"Forza Horizon 3";"Xbox One";2016;"Racing";"Microsoft Studios";1.64;1.96;0.02;0.32;3.93
"Gran Turismo Sport";"PS4";2017;"Racing";"Sony Interactive Entertainment";0.63;2.35;0.24;0.54;3.77
"FIFA 17";"Xbox One";2016;"Sports";"Electronic Arts";1.04;2.4;0.0;0.27;3.71
"Gears of War: Ultimate Edition";"Xbox One";2015;"Shooter";"Microsoft Studios";2.88;0.37;0.0;0.37;3.62
"Assassin's Creed Syndicate";"PS4";2015;"Action";"Ubisoft";0.9;2.06;0.08;0.55;3.6
"Assassin's Creed: Unity";"Xbox One";2014;"Action";"Ubisoft";2.34;0.9;0.0;0.34;3.58
"NBA 2K17";"PS4";2016;"Sports";"2K Sports";2.28;0.59;0.03;0.63;3.52
"Mortal Kombat X";"PS4";2015;"Fighting";"Warner Bros. Interactive Entertainment";1.94;0.94;0.0;0.61;3.49
"Halo: The Master Chief Collection";"Xbox One";2014;"Shooter";"Microsoft Studios";2.06;1.04;0.03;0.31;3.44
"FIFA Soccer 14";"PS4";2013;"Sports";"EA Sports";0.62;2.18;0.12;0.51;3.43
"Destiny";"Xbox One";2014;"Shooter";"Activision";2.17;0.92;0.0;0.32;3.41
"Gears of War 4";"Xbox One";2016;"Shooter";"Microsoft Studios";2.17;0.9;0.0;0.32;3.38
"The Elder Scrolls V: Skyrim";"PS4";2016;"Role-Playing";"Bethesda Softworks";1.24;1.5;0.08;0.54;3.36
"Watch Dogs 2";"PS4";2016;"Action";"Ubisoft";0.98;1.74;0.12;0.52;3.36
"NBA 2K18";"PS4";2017;"Sports";"2K Sports";2.13;0.57;0.04;0.59;3.34
"Resident Evil VII: Biohazard";"PS4";2017;"Action";"Capcom";0.88;1.56;0.41;0.46;3.31
"Madden NFL 16";"PS4";2015;"Sports";"EA Sports";2.39;0.31;0.0;0.61;3.3
"Madden NFL 17";"PS4";2016;"Sports";"EA Sports";2.3;0.37;0.0;0.6;3.28
"FIFA 16";"Xbox One";2015;"Sports";"EA Sports";0.92;2.1;0.0;0.24;3.25
"Middle-Earth: Shadow of Mordor";"PS4";2014;"Action";"Warner Bros. Interactive Entertainment";1.03;1.6;0.05;0.51;3.19
"Assassin's Creed IV: Black Flag";"PS4";2013;"Action-Adventure";"Ubisoft";1.07;1.55;0.06;0.51;3.19
"FIFA 18";"Xbox One";2017;"Sports";"EA Sports";0.98;1.92;0.0;0.23;3.14
"Tom Clancy's Ghost Recon Wildlands";"PS4";2017;"Shooter";"Ubisoft";1.07;1.35;0.22;0.47;3.12
"Bloodborne";"PS4";2015;"Role-Playing";"Sony Computer Entertainment";1.3;1.05;0.28;0.48;3.11
"Titanfall";"Xbox One";2014;"Shooter";"Electronic Arts";1.88;0.91;0.04;0.28;3.11
"Call of Duty: Ghosts";"Xbox One";2013;"Shooter";"Activision";1.92;0.86;0.0;0.28;3.07
"Metal Gear Solid V: The Phantom Pain";"PS4";2015;"Action";"Konami Digital Entertainment";0.97;1.15;0.5;0.42;3.04
"Killzone: Shadow Fall";"PS4";2013;"Shooter";"Sony Computer Entertainment";0.89;1.58;0.08;0.47;3.02
"inFAMOUS: Second Son";"PS4";2014;"Action-Adventure";"Sony Computer Entertainment";1.35;1.09;0.07;0.5;3.01
"Doom (2016)";"PS4";2016;"Shooter";"Bethesda Softworks";0.93;1.48;0.04;0.46;2.92
"Mafia III";"PS4";2016;"Action-Adventure";"2K Games";0.72;1.67;0.04;0.44;2.87
"Diablo III";"PS4";2014;"Role-Playing";"Blizzard Entertainment";0.83;1.48;0.08;0.44;2.82
"Far Cry: Primal";"PS4";2016;"Action-Adventure";"Ubisoft";0.63;1.61;0.07;0.41;2.73
"Need for Speed (2015)";"PS4";2015;"Racing";"Electronic Arts";0.59;1.66;0.06;0.41;2.72
"Overwatch";"Xbox One";2016;"Shooter";"Blizzard Entertainment";1.63;0.84;0.0;0.25;2.72
"Tom Clancy's Rainbow Six: Siege";"Xbox One";2015;"Shooter";"Ubisoft";1.62;0.84;0.0;0.25;2.71
"Madden NFL 18";"PS4";2017;"Sports";"EA Sports";1.73;0.42;0.0;0.47;2.62
"Tom Clancy's The Division";"Xbox One";2016;"Shooter";"Ubisoft";1.54;0.82;0.0;0.24;2.59
"NBA 2K15";"PS4";2014;"Sports";"2K Sports";1.49;0.55;0.01;0.44;2.49
"Assassin's Creed Origins";"Xbox One";2017;"Action";"Ubisoft";1.34;0.92;0.0;0.22;2.47
"Madden NFL 16";"Xbox One";2015;"Sports";"EA Sports";2.13;0.08;0.0;0.26;2.47
"Dying Light";"PS4";2015;"Action";"Warner Bros. Interactive";1.18;0.74;0.13;0.4;2.45
"Madden NFL 17";"Xbox One";2016;"Sports";"EA Sports";2.14;0.04;0.0;0.26;2.44
"Dark Souls III";"PS4";2016;"Role-Playing";"Namco Bandai Games";1.0;0.63;0.44;0.34;2.42
"NBA 2K16";"Xbox One";2015;"Sports";"2K Sports";2.01;0.15;0.0;0.25;2.41
"Forza Motorsport 5";"Xbox One";2013;"Racing";"Microsoft Studios";1.28;0.9;0.01;0.21;2.4
"Ratchet & Clank (2016)";"PS4";2016;"Platform";"Sony Interactive Entertainment";0.97;0.97;0.06;0.39;2.38
"DriveClub";"PS4";2014;"Racing";"Sony Computer Entertainment";0.37;1.63;0.02;0.36;2.37
"Uncharted: The Lost Legacy";"PS4";2017;"Action";"Sony Interactive Entertainment";0.58;1.38;0.04;0.36;2.37
"Destiny 2";"Xbox One";2017;"Shooter";"Activision";1.66;0.47;0.0;0.23;2.35
"Dragon Age III: Inquisition";"PS4";2014;"Role-Playing";"Electronic Arts";1.07;0.8;0.08;0.38;2.34
"Assassin's Creed IV: Black Flag";"Xbox One";2013;"Action";"Ubisoft";1.51;0.59;0.0;0.22;2.32
"No Man's Sky";"PS4";2016;"Action-Adventure";"Hello Games";0.89;0.97;0.04;0.37;2.26
"Madden NFL 15";"PS4";2014;"Sports";"EA Sports";1.58;0.25;0.0;0.41;2.25
"FIFA 15";"Xbox One";2014;"Sports";"EA Sports";0.64;1.39;0.0;0.16;2.19
"Need for Speed: Payback";"PS4";2017;"Racing";"Electronic Arts";0.62;1.18;0.04;0.34;2.18
"Destiny: The Taken King";"PS4";2015;"Shooter";"Activision";0.97;0.8;0.05;0.36;2.18
"Need for Speed Rivals";"PS4";2013;"Racing";"Electronic Arts";0.75;1.04;0.03;0.35;2.17
"PlayerUnknown's Battlegrounds";"Xbox One";2017;"Shooter";"Microsoft Studios";1.29;0.69;0.0;0.2;2.17
"PlayStation VR Worlds";"PS4";2016;"Misc";"Sony Interactive Entertainment";0.36;1.4;0.09;0.32;2.16
"Battlefield: Hardline";"PS4";2015;"Shooter";"Electronic Arts";0.72;0.97;0.14;0.33;2.15
"Battlefield 4";"Xbox One";2013;"Shooter";"Electronic Arts";1.26;0.65;0.0;0.19;2.09
"Rise of the Tomb Raider";"PS4";2016;"Adventure";"Square Enix";0.61;1.08;0.05;0.32;2.07
"LittleBigPlanet 3";"PS4";2014;"Platform";"Sony Computer Entertainment";0.78;0.93;0.01;0.34;2.06
"The Elder Scrolls Online";"PS4";2015;"MMO";"Bethesda Softworks";0.74;0.98;0.0;0.33;2.05
"Middle-Earth: Shadow of War";"PS4";2017;"Action";"Warner Bros. Interactive Entertainment";0.82;0.84;0.06;0.33;2.04
"Dragon Quest XI";"PS4";2017;"Role-Playing";"Square Enix";0.29;0.22;1.43;0.1;2.04
"NBA 2K17";"Xbox One";2016;"Sports";"2K Sports";1.7;0.12;0.0;0.21;2.04
"Rocket League";"PS4";2016;"Sports";"505 Games";0.37;1.34;0.0;0.31;2.02
"Forza Motorsport 6";"Xbox One";2015;"Racing";"Microsoft Studios";0.9;0.92;0.04;0.16;2.02
"NBA 2K18";"Xbox One";2017;"Sports";"2K Sports";1.67;0.14;0.0;0.21;2.02
"Just Cause 3";"PS4";2015;"Action-Adventure";"Square Enix";0.53;1.07;0.09;0.3;1.98
"Dishonored 2";"PS4";2016;"Action";"Bethesda Softworks";0.62;1.02;0.01;0.31;1.97
"Star Wars Battlefront II (2017)";"Xbox One";2017;"Shooter";"Electronic Arts";1.15;0.59;0.0;0.17;1.92
"Lego Marvel Super Heroes";"PS4";2013;"Action";"Warner Bros. Interactive Entertainment";0.59;1.0;0.01;0.3;1.91
"Madden NFL 18";"Xbox One";2017;"Sports";"EA Sports";1.63;0.07;0.0;0.2;1.91
"Until Dawn";"PS4";2015;"Adventure";"Sony Computer Entertainment";0.62;0.92;0.06;0.3;1.9
"Knack";"PS4";2013;"Platform";"Sony Computer Entertainment";0.45;0.77;0.42;0.23;1.88
"The Evil Within";"PS4";2014;"Action";"Bethesda Softworks";0.56;0.9;0.11;0.28;1.86
"The Elder Scrolls V: Skyrim";"Xbox One";2016;"Role-Playing";"Bethesda Softworks";1.13;0.53;0.0;0.17;1.83
"The Crew";"PS4";2014;"Racing";"Ubisoft";0.44;1.04;0.03;0.27;1.79
"Far Cry 5";"Xbox One";2018;"Action";"Ubisoft";1.14;0.47;0.0;0.17;1.78
"Kingdom Hearts 1.5 + 2.5 Remix";"PS4";2017;"Role-Playing";"Square Enix";0.75;0.51;0.23;0.26;1.75
"For Honor";"PS4";2017;"Action";"Ubisoft";0.73;0.66;0.07;0.28;1.75
"Mortal Kombat X";"Xbox One";2015;"Fighting";"Warner Bros. Interactive Entertainment";1.34;0.23;0.0;0.18;1.74
"NBA 2K15";"Xbox One";2014;"Sports";"2K Sports";1.39;0.18;0.0;0.18;1.74
"The Witcher 3: Wild Hunt";"Xbox One";2015;"Role-Playing";"Namco Bandai Games";0.97;0.61;0.01;0.15;1.74
"Titanfall 2";"PS4";2016;"Shooter";"Electronic Arts";0.75;0.62;0.06;0.28;1.72
"Injustice 2";"PS4";2017;"Fighting";"Warner Bros. Interactive Entertainment";0.88;0.54;0.0;0.29;1.72
"NieR Automata";"PS4";2017;"Role-Playing";"Square Enix";0.56;0.51;0.42;0.22;1.71
"Tekken 7";"PS4";2017;"Fighting";"Namco Bandai Games";0.6;0.72;0.12;0.26;1.7
"Far Cry 4";"Xbox One";2014;"Shooter";"Ubisoft";0.85;0.68;0.02;0.14;1.68
"Persona 5";"PS4";2016;"Role-Playing";"Deep Silver";0.62;0.34;0.48;0.2;1.64
"Watch Dogs";"Xbox One";2014;"Action-Adventure";"Ubisoft";0.91;0.59;0.0;0.15;1.64
"Dead Rising 3";"Xbox One";2013;"Action";"Microsoft Studios";1.06;0.4;0.01;0.15;1.63
"The Order: 1886";"PS4";2015;"Shooter";"Sony Computer Entertainment";0.44;0.86;0.07;0.25;1.62
"Wolfenstein: The New Order";"PS4";2014;"Shooter";"Bethesda Softworks";0.48;0.84;0.03;0.25;1.61
"Tom Clancy's Ghost Recon Wildlands";"Xbox One";2017;"Shooter";"Ubisoft";0.98;0.48;0.0;0.15;1.61
"Madden NFL 15";"Xbox One";2014;"Sports";"EA Sports";1.34;0.1;0.0;0.17;1.6
"Rise of the Tomb Raider";"Xbox One";2015;"Adventure";"Square Enix";0.61;0.82;0.03;0.12;1.58
"Batman: Arkham Knight";"Xbox One";2015;"Action";"Warner Bros. Interactive Entertainment";0.97;0.46;0.0;0.14;1.58
"Detroit: Become Human";"PS4";2018;"Adventure";"Sony Interactive Entertainment";0.55;0.67;0.12;0.24;1.57
"Naruto Shippuden: Ultimate Ninja Storm 4";"PS4";2016;"Fighting";"Namco Bandai Games";0.71;0.47;0.12;0.24;1.54
"NBA 2K14";"PS4";2013;"Sports";"2K Sports";0.91;0.35;0.01;0.27;1.54
"Forza Motorsport 7";"Xbox One";2017;"Racing";"Microsoft Studios";0.58;0.81;0.01;0.12;1.52
"Tomb Raider (2013)";"PS4";2014;"Action-Adventure";"Square Enix";0.47;0.74;0.06;0.23;1.51
"Dragon Ball: Xenoverse 2";"PS4";2016;"Action";"Namco Bandai Games";0.54;0.59;0.14;0.23;1.5
"Rayman Legends";"PS4";2014;"Platform";"Ubisoft";0.22;1.05;0.0;0.23;1.5
"Mass Effect: Andromeda";"PS4";2017;"Role-Playing";"Electronic Arts";0.58;0.67;0.0;0.25;1.49
"Dying Light";"Xbox One";2015;"Action";"Warner Bros. Interactive Entertainment";1.01;0.31;0.01;0.14;1.47
"Ryse";"Xbox One";2013;"Action";"Microsoft Studios";0.84;0.49;0.0;0.13;1.47
"Dragon Ball Fighter Z";"PS4";2018;"Fighting";"Namco Bandai Games";0.61;0.51;0.12;0.23;1.46
"Forza Horizon 2";"Xbox One";2014;"Racing";"Microsoft Studios";0.56;0.79;0.01;0.11;1.46
"Doom (2016)";"Xbox One";2016;"Shooter";"Bethesda Softworks";0.76;0.57;0.0;0.13;1.45
"Assassin's Creed Syndicate";"Xbox One";2015;"Action";"Ubisoft";0.71;0.61;0.0;0.12;1.44
"South Park: The Fractured But Whole";"PS4";2017;"Role-Playing";"Ubisoft";0.62;0.57;0.0;0.24;1.43
"Middle-Earth: Shadow of Mordor";"Xbox One";2014;"Action";"Warner Bros. Interactive Entertainment";0.77;0.52;0.01;0.12;1.42
"The Sims 4";"PS4";2017;"Simulation";"Electronic Arts";0.44;0.72;0.01;0.22;1.39
"Street Fighter V";"PS4";2016;"Fighting";"Capcom";0.64;0.42;0.12;0.22;1.39
"Rocket League";"Xbox One";2016;"Sports";"505 Games";0.52;0.75;0.0;0.11;1.38
"The Elder Scrolls Online";"Xbox One";2015;"MMO";"Bethesda Softworks";0.86;0.39;0.0;0.13;1.38
"Titanfall 2";"Xbox One";2016;"Shooter";"Electronic Arts";0.88;0.37;0.0;0.13;1.37
"Wolfenstein II: The New Colossus";"PS4";2017;"Shooter";"Bethesda Softworks";0.55;0.58;0.01;0.22;1.36
"Watch Dogs 2";"Xbox One";2016;"Action";"Ubisoft";0.71;0.53;0.0;0.12;1.35
"WWE 2K18";"PS4";2017;"Sports";"2K Sports";0.45;0.67;0.0;0.22;1.33
"Lego Star Wars: The Force Awakens";"PS4";2016;"Action-Adventure";"Warner Bros. Interactive Entertainment";0.3;0.78;0.02;0.2;1.31
"EA Sports UFC 2";"PS4";2016;"Sports";"EA Sports";0.44;0.65;0.0;0.21;1.31
"FIFA Soccer 14";"Xbox One";2013;"Sports";"EA Sports";0.44;0.78;0.0;0.1;1.31
"The Last Guardian";"PS4";2016;"Action-Adventure";"Sony Interactive Entertainment";0.4;0.58;0.13;0.19;1.29
"WWE 2K16";"PS4";2015;"Sports";"Take-Two Interactive";0.43;0.65;0.0;0.21;1.29
"Borderlands: The Handsome Collection";"PS4";2015;"Shooter";"2K Games";0.69;0.34;0.03;0.22;1.28
"Project CARS";"PS4";2015;"Racing";"Bandai Namco Games";0.29;0.76;0.04;0.19;1.28
"Destiny: The Taken King";"Xbox One";2015;"Shooter";"Activision";0.91;0.23;0.0;0.12;1.27
"Battlefield: Hardline";"Xbox One";2015;"Shooter";"Electronic Arts";0.73;0.39;0.01;0.11;1.24
"WWE 2K17";"PS4";2016;"Sports";"2K Games";0.32;0.7;0.0;0.19;1.22
"Guitar Hero Live";"PS4";2015;"Music";"Activision";0.52;0.49;0.0;0.2;1.21
"Metal Gear Solid: Ground Zeroes";"PS4";2014;"Action-Adventure";"Konami Digital Entertainment";0.36;0.5;0.17;0.17;1.2
"Mad Max (2013)";"PS4";2015;"Action";"Warner Bros. Interactive Entertainment";0.38;0.59;0.05;0.19;1.2
"Shadow of the Colossus";"PS4";2018;"Action-Adventure";"Sony Interactive Entertainment";0.44;0.52;0.05;0.19;1.2
"Kingdom Hearts HD 2.8 Final Chapter Prologue";"PS4";2017;"Role-Playing";"Square Enix";0.57;0.25;0.2;0.17;1.2
"Dragon Ball: XenoVerse";"PS4";2015;"Fighting";"Namco Bandai Games";0.33;0.55;0.14;0.17;1.19
"LEGO Dimensions";"PS4";2015;"Action";"Warner Bros. Interactive Entertainment";0.48;0.5;0.0;0.2;1.18
"LEGO Jurassic World";"PS4";2015;"Action";"Warner Bros. Interactive Entertainment";0.41;0.56;0.02;0.19;1.18
"WWE 2K15";"PS4";2014;"Sports";"2K Sports";0.4;0.57;0.0;0.19;1.16
"MLB The Show 17";"PS4";2017;"Sports";"Sony Interactive Entertainment";0.94;0.0;0.0;0.22;1.16
"Sunset Overdrive";"Xbox One";2014;"Action";"Microsoft Studios";0.64;0.42;0.0;0.1;1.16
"Middle-Earth: Shadow of War";"Xbox One";2017;"Action";"Warner Bros. Interactive Entertainment";0.75;0.29;0.0;0.11;1.15
"Lego Marvel Super Heroes";"Xbox One";2013;"Action";"Warner Bros. Interactive Entertainment";0.61;0.44;0.0;0.1;1.15
"LEGO Worlds";"PS4";2017;"Misc";"Warner Bros. Interactive Entertainment";0.21;0.72;0.04;0.17;1.14
"Final Fantasy XV";"Xbox One";2016;"Role-Playing";"Square Enix";0.72;0.3;0.01;0.11;1.14
"The Elder Scrolls V: Skyrim PSVR";"PS4";2017;"Role-Playing";"Bethesda Softworks";0.47;0.47;0.01;0.19;1.13
"LEGO Marvel Super Heroes 2";"PS4";2017;"Action";"Warner Bros. Interactive Entertainment";0.33;0.6;0.0;0.18;1.11
"EA Sports UFC";"PS4";2014;"Fighting";"Electronic Arts";0.49;0.43;0.01;0.18;1.11
"Mafia III";"Xbox One";2016;"Action-Adventure";"2K Games";0.54;0.48;0.0;0.09;1.11
"Final Fantasy XII: The Zodiac Age";"PS4";2017;"Role-Playing";"Square Enix";0.37;0.41;0.16;0.15;1.1
"Alien: Isolation";"PS4";2014;"Adventure";"Sega";0.29;0.59;0.05;0.16;1.09
"MLB The Show 18";"PS4";2018;"Sports";"Sony Interactive Entertainment";0.86;0.0;0.0;0.2;1.06
"The Evil Within II";"PS4";2017;"Action";"Bethesda Softworks";0.31;0.49;0.09;0.15;1.05
"Prey (2017)";"PS4";2017;"Shooter";"Bethesda Softworks";0.25;0.62;0.02;0.16;1.04
"Final Fantasy Type-0";"PS4";2015;"Role-Playing";"Square Enix";0.4;0.33;0.16;0.15;1.04
"Diablo III";"Xbox One";2014;"Role-Playing";"Blizzard Entertainment";0.62;0.32;0.0;0.09;1.04
"Ni-Oh";"PS4";2017;"Action";"Tecmo Koei";0.34;0.36;0.2;0.14;1.03
"MLB 15: The Show";"PS4";2015;"Sports";"Sony Computer Entertainment";0.75;0.08;0.0;0.19;1.01
"Steep";"PS4";2016;"Sports";"Ubisoft";0.23;0.6;0.02;0.15;1.01
"LEGO Marvel's Avengers";"PS4";2016;"Action";"Warner Bros. Interactive Entertainment";0.31;0.53;0.01;0.16;1.01
"Evolve";"PS4";2015;"Shooter";"2K Games";0.38;0.41;0.05;0.16;1.01
"Just Cause 3";"Xbox One";2015;"Action-Adventure";"Square Enix";0.52;0.41;0.0;0.09;1.01
"Far Cry: Primal";"Xbox One";2016;"Action-Adventure";"Ubisoft";0.51;0.41;0.0;0.09;1.0
